rate_date	close	open	high	low	change_percent
2018-8-20	6.8532	6.8372	6.8626	6.8325	0.23
2018-8-19	6.8372	6.8354	6.847	6.8354	0.04
2018-8-17	6.8346	6.8625	6.8834	6.8269	-0.38
2018-8-16	6.8608	6.9476	6.951	6.8552	-1.23
2018-8-15	6.9459	6.8994	6.9589	6.8929	0.67
2018-8-14	6.8998	6.8955	6.9075	6.8806	0.04
2018-8-13	6.8973	6.8696	6.9123	6.8686	0.37
2018-8-12	6.8721	6.8707	6.8746	6.8678	0.05
2018-8-10	6.8684	6.8472	6.8764	6.8326	0.33
2018-8-9	6.8461	6.8243	6.8476	6.8134	0.30
2018-8-8	6.8254	6.8206	6.8495	6.8072	0.07
2018-8-7	6.8207	6.8664	6.877	6.8176	-0.65
2018-8-6	6.8655	6.8479	6.8766	6.8247	0.36
2018-8-5	6.8411	6.8496	6.8544	6.8385	-0.09
2018-8-3	6.8476	6.8811	6.9126	6.8257	-0.49
2018-8-2	6.8816	6.8255	6.8838	6.8163	0.84
2018-8-1	6.8242	6.8044	6.8476	6.8012	0.28
2018-7-31	6.8053	6.827	6.851	6.7759	-0.31
2018-7-30	6.8266	6.8262	6.8501	6.8153	0.01
2018-7-29	6.8257	6.8219	6.8303	6.8219	0.02
2018-7-27	6.8243	6.8262	6.8582	6.8036	-0.04
2018-7-26	6.8267	6.7565	6.8271	6.7384	1.04
2018-7-25	6.7565	6.8139	6.8242	6.7557	-0.80
2018-7-24	6.8108	6.8033	6.8452	6.791	0.07
2018-7-23	6.806	6.7834	6.8265	6.7588	0.56
2018-7-22	6.7679	6.7811	6.7816	6.7633	-0.15
2018-7-20	6.7783	6.792	6.837	6.7762	-0.18
2018-7-19	6.7907	6.7457	6.8095	6.7382	0.66
2018-7-18	6.7459	6.7231	6.7598	6.7135	0.36
2018-7-17	6.722	6.7032	6.7293	6.6876	0.29
2018-7-16	6.7025	6.7119	6.7253	6.6836	-0.06
2018-7-15	6.7066	6.7081	6.7114	6.7052	-0.08
2018-7-13	6.7119	6.6944	6.727	6.6692	0.29
2018-7-12	6.6928	6.7232	6.7299	6.6717	-0.46
2018-7-11	6.7235	6.646	6.7252	6.6438	1.09
2018-7-10	6.6508	6.6222	6.6508	6.6005	0.43
2018-7-9	6.6224	6.6622	6.6673	6.6145	-0.53
